Date/Time,Word Count,en,ru
2016.12.15-14.48.47,0,0,0
2016.12.15-14.50.45,498,498,0
2016.12.15-14.58.30,510,510,0
2016.12.15-15.03.42,505,505,0
2016.12.15-15.19.03,477,477,0
2016.12.15-15.25.08,453,453,0
2016.12.15-17.38.07,453,453,88
2016.12.15-17.53.26,430,430,88
2016.12.15-18.45.14,430,430,416
2016.12.15-19.09.18,430,430,378
2016.12.15-19.14.37,430,430,412
2016.12.15-19.33.49,430,430,379
2016.12.16-05.25.52,430,430,379
2016.12.16-05.58.10,389,389,376
2016.12.16-06.04.08,385,385,379
2016.12.16-06.08.13,387,387,379
2016.12.16-06.10.08,406,406,381
2016.12.16-06.17.56,406,406,381
2016.12.16-06.34.01,382,382,376
2016.12.16-06.35.07,426,426,376
2016.12.16-07.24.22,426,426,378
2016.12.16-07.45.10,426,426,378
2016.12.16-07.55.29,426,426,378
2016.12.16-09.08.06,426,426,378
2016.12.16-10.34.18,426,426,420
2016.12.23-22.20.49,427,427,39
2016.12.24-10.58.49,427,427,261
2016.12.24-10.59.41,423,423,221
2016.12.24-11.11.49,423,423,417
